,Title,Review
0,"Fine book, Worth the money!",Helpful for the beginners who are starting data visualization or R-Course But not so much for advanced studies or projects. Good Cover and Fine Printing with smooth pages.Overall Worth the money but only for beginners.
1,Black and white only,Book cover and paper quality is okay. Package is good. Buy only if u have R basic knowledge.
2,If R is Ferrari of Data science world then this book is Nut and Bolt manual to cary out routine but critical operations on data,"Firstly understand that this book does not cover most of models, algorithms etc. It actually covers all the steps that you need to perform on ""real life"" data to get it ready to run your models. It does not teach about K-means, regression, bagging and boosting etc. For that you can use James,Witten,Hastie,Tibshirani's excellent ""Introduction to Statistical Learning"" book. But this Wikham book fills a critical void.In my personal experience it takes more than 90% time to get the data in a shape where you think it is now ready for you to run your algorithms. This is far cry from the sterile,cleaned up  data sets used in the data science courses. The real life data is very messy. This book is clearly written for the practitioners who deal with real life situations. This book helped me a lot to get my data in proper form. which includes joining two disparate data-sets based on keys,  creating new derivative columns based on existing columns, remove unwanted feature set, take care of all those NAs, filter the rows on criteria, perform different aggregate functions (mean, sum, median etc) date wise or factor wise. It also covers bit of ggplot basics so you can start plotting the data from the word go. This book uses the tidyverse family packages (especially dplyr) written by the same author. ggplot is also written by Wikham. Both packages contain functions that can improve your productivity 10x. Both have now become  de facto packages used by most R data scientists.This book immensely helped me perform data analysis on my messy data. It taught me what and how to perform necessary operations on my data using very useful functions in dplyr package which is part of tidyverse family.R is very powerful environment for data analysis. I would call it Ferrari of data science world. But although very powerful, it has its own quirks and learning curve, even for experienced programmers. The packages like dplyr, caret, ggplot make your life easier and allow you to fully harness the horse power of R."
3,Highly recommended,"The author has taken a good approach.  Instead of giving you the introduction or much theory, author teaches each concept with examples.  You start with coding immediately which actually better.  Exercise is also very good.Those who have just started R just like me, I highly recommend it.  You will be fully engaged with coding and not get bored."
4,Suitable for Data analyst,Go for it. learn it
5,Your gateway to data science,"It is hard to pick a good introductory data science book these days since there are too many out there. But R for Data Science is arguably one of the best books you can pick and start your data science journey. If you go through this whole book, not only you will learn fundamentals of data science but also advanced data management tools that will allow you to analyze a variety of data. Some introduction to R language is required which can be picked up from first few chapters of Art of R Programming by Norman Matloff."
6,"Amazing book, but horrible condition","Wonderful book for beginners. R programming is entirely new for me , this book full fills my needs, very good , easy to understand with examples and exercises  for practice perfect The condition of the book looks kind of old , the front cover is not good."
7,R basics for data analysis,Good for the price.
8,A must have for anyone who loves R,It is really helpful to have it by your side no matter how proficient in R you are.
9,Good book to have for learning R,Really good book to learn the ropes in R... must haves for anyone just starting off with R... It's structured and has good amount of practice questions
10,Great book. A must buy,This book is extremely handy book for those who already have basic understanding of R. A great collection of thoery and code to use packages to boost the features of R
11,Bad paper quality,Content of the book is great while the paper quality feels like it has been photostated and bound. Doesn't do justice for the price tag
12,Must have for a R beiginner,Very useful if you are starting data science journey using R.
13,Four Stars,Excellent book for beginners. Hadley Wickham's tidyverse is simple and intuitive.
14,Only for beginners.,Buy this only if you are getting started with Programming in R & are not taking any other classes for it. I have intermediate proficiency in R & I did not find this book that useful.
15,Good book for beginners,Good book for beginners
16,Four Stars,Very nice
17,Five Stars,Excellent book
18,Old product,
19,Pirated copy!,"Got a pirated copy, book is awesome but was not expecting a pirated copy. Not sure if price is worth pirated book."
20,Quality - Locally printed,Quality of the physical book was not good.
21,Not for beginners,"Not for beginners... Also price is just too high. Content in book doesn't justify the price. R is not a rocket science, you can easily get a great material on the internet without spending any money."
22,"The book is good, however the drawback is","prompt delivery from amazon..The book is good, however the drawback is, all the graphs/charts are in black and white. so when the authors refers a particular color line in a graph/chart, we can not distinguish between the lines/objects given in the graph/chart.."
23,Good overview of R,Well written book with good examples and code which covers both the why and how of R and many useful  R packages.
24,Buen libro para explicar conceptos de datos en R,"Buenas explicaciones de los conceptos de ciencia de datos cuando se usa R, útil como ayuda para el aprendizaje y referencia futura"
25,Good introduction to R,Although my apprenticeship has free on-line books I like a physical book so you can flip back and fore. It is important you practice with R Studio but this book is well written and a pleasant read. Please note there is a new edition August 2023 so it might be worth waiting.
26,Great Book for R newbie’s,Used it for my coding project in R and am quite happy with the content and teaching methods!
27,“R for Data Science”  is an exceptional book for Data Scientists.,"The authors, Hadley Wickham and Garrett Grolemund, are probably among the greatest authorities in their field. An important part of the book is devoted to the Tidyverse collection of packages for R. Once one has mastered the basics of the R language this book greatly enhances the capability of what one can do in this language, coupled to the Tidyverse language. In my opinion this book is the logical continuation of one’s learning experience once one has learned R. O’Reilly, the publisher of this book has lavished beautiful illustrations that facilitates greatly the comprehension of the clearly written text. A veritable pleasure to see such typographical masterpiece."
28,R for Data Science,The book is Ok!Thanks!
29,"If you want to learn R, buy this book!",This is tied as my favorite tech/programming book to date. The organization is well thought out. The support materials are exactly where they should be. The author and publisher are easy to contact if necessary. The material is also very engaging unlike many beginner books.This book will give you all the skills necessary to start doing real work and to move on to more specialized skills.
